x,y,stable
-6.8,0.40000000000000213,1.0
-6.8,0.8000000000000007,1.0
-6.8,1.2000000000000028,1.0
-6.8,1.6000000000000014,1.0
-6.8,2.0,1.0
-6.8,2.400000000000002,1.0
-6.8,2.8000000000000007,1.0
-6.8,3.200000000000003,1.0
-6.8,3.6000000000000014,1.0
-6.8,4.0,1.0
-6.8,4.400000000000002,1.0
-6.8,4.800000000000001,1.0
-6.8,5.200000000000003,1.0
-6.8,5.600000000000001,1.0
-6.8,6.0,1.0
-6.8,6.400000000000002,1.0
-6.8,6.800000000000001,1.0
-6.8,7.200000000000003,1.0
-6.8,7.600000000000001,1.0
-6.8,8.0,1.0
-6.8,8.400000000000002,1.0
-6.8,8.8,1.0
-6.8,9.200000000000003,1.0
-6.8,9.600000000000001,1.0
-6.8,10.0,1.0
-6.8,10.400000000000002,1.0
-6.8,10.8,1.0
-6.8,11.200000000000003,1.0
-6.8,11.600000000000001,1.0
-6.8,12.0,1.0
-6.8,12.399999999999999,1.0
-6.8,12.800000000000004,1.0
-6.8,13.200000000000003,1.0
-6.8,13.600000000000001,1.0
-6.8,14.0,1.0
-6.8,14.399999999999999,1.0
-6.8,14.800000000000004,1.0
-6.8,15.200000000000003,1.0
-6.8,15.600000000000001,1.0
-6.8,16.0,1.0
-6.8,16.4,1.0
-6.8,16.800000000000004,1.0
-6.8,17.200000000000003,1.0
-6.8,17.6,1.0
-6.8,18.0,1.0
-6.8,18.400000000000006,1.0
-6.8,18.800000000000004,1.0
-6.8,19.200000000000003,1.0
-6.8,19.6,1.0
-6.8,20.0,1.0
-6.4,-20.0,1.0
-6.4,-19.6,1.0
-6.4,-19.2,1.0
-6.4,-18.8,1.0
-6.4,-18.4,1.0
-6.4,-18.0,1.0
-6.4,-17.6,1.0
-6.4,-17.2,1.0
-6.4,-16.8,1.0
-6.4,-16.4,1.0
-6.4,-16.0,1.0
-6.4,-15.6,1.0
-6.4,-15.2,1.0
-6.4,-14.8,1.0
-6.4,-14.399999999999999,1.0
-6.4,-14.0,1.0
-6.4,-13.6,1.0
-6.4,-13.2,1.0
-6.4,-12.8,1.0
-6.4,-12.399999999999999,1.0
-6.4,-12.0,1.0
-6.4,-11.6,1.0
-6.4,-11.2,1.0
-6.4,-10.799999999999999,1.0
-6.4,-10.399999999999999,1.0
-6.4,-10.0,1.0
-6.4,-9.6,1.0
-6.4,-9.2,1.0
-6.4,-8.799999999999999,1.0
-6.4,-8.399999999999999,1.0
-6.4,-8.0,1.0
-6.4,-7.6,1.0
-6.4,-7.199999999999999,1.0
-6.4,-6.799999999999999,1.0
-6.4,-6.399999999999999,1.0
-6.4,-6.0,1.0
-6.4,-5.6,1.0
-6.4,-5.199999999999999,1.0
-6.4,-4.799999999999999,1.0
-6.4,-4.399999999999999,1.0
-6.4,-4.0,1.0
-6.4,-3.599999999999998,1.0
-6.4,-3.1999999999999993,1.0
-6.4,-2.8000000000000007,1.0
-6.4,-2.3999999999999986,1.0
-6.4,-2.0,1.0
-6.4,-1.5999999999999979,1.0
-6.4,-1.1999999999999993,1.0
-6.4,-0.7999999999999972,1.0
-6.4,-0.3999999999999986,1.0
-6.4,0.0,1.0
-6.4,0.40000000000000213,1.0
-6.4,0.8000000000000007,1.0
-6.4,1.2000000000000028,1.0
-6.4,1.6000000000000014,1.0
-6.4,2.0,1.0
-6.4,2.400000000000002,1.0
-6.4,2.8000000000000007,1.0
-6.4,3.200000000000003,1.0
-6.4,3.6000000000000014,1.0
-6.4,4.0,1.0
-6.4,4.400000000000002,1.0
-6.4,4.800000000000001,1.0
-6.4,5.200000000000003,1.0
-6.4,5.600000000000001,1.0
-6.4,6.0,1.0
-6.4,6.400000000000002,1.0
-6.4,6.800000000000001,1.0
-6.4,7.200000000000003,1.0
-6.4,7.600000000000001,1.0
-6.4,8.0,1.0
-6.4,8.400000000000002,1.0
-6.4,8.8,1.0
-6.4,9.200000000000003,1.0
-6.4,9.600000000000001,1.0
-6.4,10.0,1.0
-6.4,10.400000000000002,1.0
-6.4,10.8,1.0
-6.4,11.200000000000003,1.0
-6.4,11.600000000000001,1.0
-6.4,12.0,1.0
-6.4,12.399999999999999,1.0
-6.4,12.800000000000004,1.0
-6.4,13.200000000000003,1.0
-6.4,13.600000000000001,1.0
-6.4,14.0,1.0
-6.4,14.399999999999999,1.0
-6.4,14.800000000000004,1.0
-6.4,15.200000000000003,1.0
-6.4,15.600000000000001,1.0
-6.4,16.0,1.0
-6.4,16.4,1.0
-6.4,16.800000000000004,1.0
-6.4,17.200000000000003,1.0
-6.4,17.6,1.0
-6.4,18.0,1.0
-6.4,18.400000000000006,1.0
-6.4,18.800000000000004,1.0
-6.4,19.200000000000003,1.0
-6.4,19.6,1.0
-6.4,20.0,1.0
-6.0,-20.0,1.0
-6.0,-19.6,1.0
-6.0,-19.2,1.0
-6.0,-18.8,1.0
-6.0,-18.4,1.0
-6.0,-18.0,1.0
-6.0,-17.6,1.0
-6.0,-17.2,1.0
-6.0,-16.8,1.0
-6.0,-16.4,1.0
-6.0,-16.0,1.0
-6.0,-15.6,1.0
-6.0,-15.2,1.0
-6.0,-14.8,1.0
-6.0,-14.399999999999999,1.0
-6.0,-14.0,1.0
-6.0,-13.6,1.0
-6.0,-13.2,1.0
-6.0,-12.8,1.0
-6.0,-12.399999999999999,1.0
-6.0,-12.0,1.0
-6.0,-11.6,1.0
-6.0,-11.2,1.0
-6.0,-10.799999999999999,1.0
-6.0,-10.399999999999999,1.0
-6.0,-10.0,1.0
-6.0,-9.6,1.0
-6.0,-9.2,1.0
-6.0,-8.799999999999999,1.0
-6.0,-8.399999999999999,1.0
-6.0,-8.0,1.0
-6.0,-7.6,1.0
-6.0,-7.199999999999999,1.0
-6.0,-6.799999999999999,1.0
-6.0,-6.399999999999999,1.0
-6.0,-6.0,1.0
-6.0,-5.6,1.0
-6.0,-5.199999999999999,1.0
-6.0,-4.799999999999999,1.0
-6.0,-4.399999999999999,1.0
-6.0,-4.0,1.0
-6.0,-3.599999999999998,1.0
-6.0,-3.1999999999999993,1.0
-6.0,-2.8000000000000007,1.0
-6.0,-2.3999999999999986,1.0
-6.0,-2.0,1.0
-6.0,-1.5999999999999979,1.0
-6.0,-1.1999999999999993,1.0
-6.0,-0.7999999999999972,1.0
-6.0,-0.3999999999999986,1.0
-6.0,0.0,1.0
-6.0,0.40000000000000213,1.0
-6.0,0.8000000000000007,1.0
-6.0,1.2000000000000028,1.0
-6.0,1.6000000000000014,1.0
-6.0,2.0,1.0
-6.0,2.400000000000002,1.0
-6.0,2.8000000000000007,1.0
-6.0,3.200000000000003,1.0
-6.0,3.6000000000000014,1.0
-6.0,4.0,1.0
-6.0,4.400000000000002,1.0
-6.0,4.800000000000001,1.0
-6.0,5.200000000000003,1.0
-6.0,5.600000000000001,1.0
-6.0,6.0,1.0
-6.0,6.400000000000002,1.0
-6.0,6.800000000000001,1.0
-6.0,7.200000000000003,1.0
-6.0,7.600000000000001,1.0
-6.0,8.0,1.0
-6.0,8.400000000000002,1.0
-6.0,8.8,1.0
-6.0,9.200000000000003,1.0
-6.0,9.600000000000001,1.0
-6.0,10.0,1.0
-6.0,10.400000000000002,1.0
-6.0,10.8,1.0
-6.0,11.200000000000003,1.0
-6.0,11.600000000000001,1.0
-6.0,12.0,1.0
-6.0,12.399999999999999,1.0
-6.0,12.800000000000004,1.0
-6.0,13.200000000000003,1.0
-6.0,13.600000000000001,1.0
-6.0,14.0,1.0
-6.0,14.399999999999999,1.0
-6.0,14.800000000000004,1.0
-6.0,15.200000000000003,1.0
-6.0,15.600000000000001,1.0
-6.0,16.0,1.0
-6.0,16.4,1.0
-6.0,16.800000000000004,1.0
-6.0,17.200000000000003,1.0
-6.0,17.6,1.0
-6.0,18.0,1.0
-6.0,18.400000000000006,1.0
-6.0,18.800000000000004,1.0
-6.0,19.200000000000003,1.0
-6.0,19.6,1.0
-6.0,20.0,1.0
-5.6,-20.0,1.0
-5.6,-19.6,1.0
-5.6,-19.2,1.0
-5.6,-18.8,1.0
-5.6,-18.4,1.0
-5.6,-18.0,1.0
-5.6,-17.6,1.0
-5.6,-17.2,1.0
-5.6,-16.8,1.0
-5.6,-16.4,1.0
-5.6,-16.0,1.0
-5.6,-15.6,1.0
-5.6,-15.2,1.0
-5.6,-14.8,1.0
-5.6,-14.399999999999999,1.0
-5.6,-14.0,1.0
-5.6,-13.6,1.0
-5.6,-13.2,1.0
-5.6,-12.8,1.0
-5.6,-12.399999999999999,1.0
-5.6,-12.0,1.0
-5.6,-11.6,1.0
-5.6,-11.2,1.0
-5.6,-10.799999999999999,1.0
-5.6,-10.399999999999999,1.0
-5.6,-10.0,1.0
-5.6,-9.6,1.0
-5.6,-9.2,1.0
-5.6,-8.799999999999999,1.0
-5.6,-8.399999999999999,1.0
-5.6,-8.0,1.0
-5.6,-7.6,1.0
-5.6,-7.199999999999999,1.0
-5.6,-6.799999999999999,1.0
-5.6,-6.399999999999999,1.0
-5.6,-6.0,1.0
-5.6,-5.6,1.0
-5.6,-5.199999999999999,1.0
-5.6,-4.799999999999999,1.0
-5.6,-4.399999999999999,1.0
-5.6,-4.0,1.0
-5.6,-3.599999999999998,1.0
-5.6,-3.1999999999999993,1.0
-5.6,-2.8000000000000007,1.0
-5.6,-2.3999999999999986,1.0
-5.6,-2.0,1.0
-5.6,-1.5999999999999979,1.0
-5.6,-1.1999999999999993,1.0
-5.6,-0.7999999999999972,1.0
-5.6,-0.3999999999999986,1.0
-5.6,0.0,1.0
-5.6,0.40000000000000213,1.0
-5.6,0.8000000000000007,1.0
-5.6,1.2000000000000028,1.0
-5.6,1.6000000000000014,1.0
-5.6,2.0,1.0
-5.6,2.400000000000002,1.0
-5.6,2.8000000000000007,1.0
-5.6,3.200000000000003,1.0
-5.6,3.6000000000000014,1.0
-5.6,4.0,1.0
-5.6,4.400000000000002,1.0
-5.6,4.800000000000001,1.0
-5.6,5.200000000000003,1.0
-5.6,5.600000000000001,1.0
-5.6,6.0,1.0
-5.6,6.400000000000002,1.0
-5.6,6.800000000000001,1.0
-5.6,7.200000000000003,1.0
-5.6,7.600000000000001,1.0
-5.6,8.0,1.0
-5.6,8.400000000000002,1.0
-5.6,8.8,1.0
-5.6,9.200000000000003,1.0
-5.6,9.600000000000001,1.0
-5.6,10.0,1.0
-5.6,10.400000000000002,1.0
-5.6,10.8,1.0
-5.6,11.200000000000003,1.0
-5.6,11.600000000000001,1.0
-5.6,12.0,1.0
-5.6,12.399999999999999,1.0
-5.6,12.800000000000004,1.0
-5.6,13.200000000000003,1.0
-5.6,13.600000000000001,1.0
-5.6,14.0,1.0
-5.6,14.399999999999999,1.0
-5.6,14.800000000000004,1.0
-5.6,15.200000000000003,1.0
-5.6,15.600000000000001,1.0
-5.6,16.0,1.0
-5.6,16.4,1.0
-5.6,16.800000000000004,1.0
-5.6,17.200000000000003,1.0
-5.6,17.6,1.0
-5.6,18.0,1.0
-5.6,18.400000000000006,1.0
-5.6,18.800000000000004,1.0
-5.6,19.200000000000003,1.0
-5.6,19.6,1.0
-5.6,20.0,1.0
-5.199999999999999,-20.0,1.0
-5.199999999999999,-19.6,1.0
-5.199999999999999,-19.2,1.0
-5.199999999999999,-18.8,1.0
-5.199999999999999,-18.4,1.0
-5.199999999999999,-18.0,1.0
-5.199999999999999,-17.6,1.0
-5.199999999999999,-17.2,1.0
-5.199999999999999,-16.8,1.0
-5.199999999999999,-16.4,1.0
-5.199999999999999,-16.0,1.0
-5.199999999999999,-15.6,1.0
-5.199999999999999,-15.2,1.0
-5.199999999999999,-14.8,1.0
-5.199999999999999,-14.399999999999999,1.0
-5.199999999999999,-14.0,1.0
-5.199999999999999,-13.6,1.0
-5.199999999999999,-13.2,1.0
-5.199999999999999,-12.8,1.0
-5.199999999999999,-12.399999999999999,1.0
-5.199999999999999,-12.0,1.0
-5.199999999999999,-11.6,1.0
-5.199999999999999,-11.2,1.0
-5.199999999999999,-10.799999999999999,1.0
-5.199999999999999,-10.399999999999999,1.0
-5.199999999999999,-10.0,1.0
-5.199999999999999,-9.6,1.0
-5.199999999999999,-9.2,1.0
-5.199999999999999,-8.799999999999999,1.0
-5.199999999999999,-8.399999999999999,1.0
-5.199999999999999,-8.0,1.0
-5.199999999999999,-7.6,1.0
-5.199999999999999,-7.199999999999999,1.0
-5.199999999999999,-6.799999999999999,1.0
-5.199999999999999,-6.399999999999999,1.0
-5.199999999999999,-6.0,1.0
-5.199999999999999,-5.6,1.0
-5.199999999999999,-5.199999999999999,1.0
-5.199999999999999,-4.799999999999999,1.0
-5.199999999999999,-4.399999999999999,1.0
-5.199999999999999,-4.0,1.0
-5.199999999999999,-3.599999999999998,1.0
-5.199999999999999,-3.1999999999999993,1.0
-5.199999999999999,-2.8000000000000007,1.0
-5.199999999999999,-2.3999999999999986,1.0
-5.199999999999999,-2.0,1.0
-5.199999999999999,-1.5999999999999979,1.0
-5.199999999999999,-1.1999999999999993,1.0
-5.199999999999999,-0.7999999999999972,1.0
-5.199999999999999,-0.3999999999999986,1.0
-5.199999999999999,0.0,1.0
-5.199999999999999,0.40000000000000213,1.0
-5.199999999999999,0.8000000000000007,1.0
-5.199999999999999,1.2000000000000028,1.0
-5.199999999999999,1.6000000000000014,1.0
-5.199999999999999,2.0,1.0
-5.199999999999999,2.400000000000002,1.0
-5.199999999999999,2.8000000000000007,1.0
-5.199999999999999,3.200000000000003,1.0
-5.199999999999999,3.6000000000000014,1.0
-5.199999999999999,4.0,1.0
-5.199999999999999,4.400000000000002,1.0
-5.199999999999999,4.800000000000001,1.0
-5.199999999999999,5.200000000000003,1.0
-5.199999999999999,5.600000000000001,1.0
-5.199999999999999,6.0,1.0
-5.199999999999999,6.400000000000002,1.0
-5.199999999999999,6.800000000000001,1.0
-5.199999999999999,7.200000000000003,1.0
-5.199999999999999,7.600000000000001,1.0
-5.199999999999999,8.0,1.0
-5.199999999999999,8.400000000000002,1.0
-5.199999999999999,8.8,1.0
-5.199999999999999,9.200000000000003,1.0
-5.199999999999999,9.600000000000001,1.0
-5.199999999999999,10.0,1.0
-5.199999999999999,10.400000000000002,1.0
-5.199999999999999,10.8,1.0
-5.199999999999999,11.200000000000003,1.0
-5.199999999999999,11.600000000000001,1.0
-5.199999999999999,12.0,1.0
-5.199999999999999,12.399999999999999,1.0
-5.199999999999999,12.800000000000004,1.0
-5.199999999999999,13.200000000000003,1.0
-5.199999999999999,13.600000000000001,1.0
-5.199999999999999,14.0,1.0
-5.199999999999999,14.399999999999999,1.0
-5.199999999999999,14.800000000000004,1.0
-5.199999999999999,15.200000000000003,1.0
-5.199999999999999,15.600000000000001,1.0
-5.199999999999999,16.0,1.0
-5.199999999999999,16.4,1.0
-5.199999999999999,16.800000000000004,1.0
-5.199999999999999,17.200000000000003,1.0
-5.199999999999999,17.6,1.0
-5.199999999999999,18.0,1.0
-5.199999999999999,18.400000000000006,1.0
-5.199999999999999,18.800000000000004,1.0
-5.199999999999999,19.200000000000003,1.0
-5.199999999999999,19.6,1.0
-5.199999999999999,20.0,1.0
-4.8,-20.0,1.0
-4.8,-19.6,1.0
-4.8,-19.2,1.0
-4.8,-18.8,1.0
-4.8,-18.4,1.0
-4.8,-18.0,1.0
-4.8,-17.6,1.0
-4.8,-17.2,1.0
-4.8,-16.8,1.0
-4.8,-16.4,1.0
-4.8,-16.0,1.0
-4.8,-15.6,1.0
-4.8,-15.2,1.0
-4.8,-14.8,1.0
-4.8,-14.399999999999999,1.0
-4.8,-14.0,1.0
-4.8,-13.6,1.0
-4.8,-13.2,1.0
-4.8,-12.8,1.0
-4.8,-12.399999999999999,1.0
-4.8,-12.0,1.0
-4.8,-11.6,1.0
-4.8,-11.2,1.0
-4.8,-10.799999999999999,1.0
-4.8,-10.399999999999999,1.0
-4.8,-10.0,1.0
-4.8,-9.6,1.0
-4.8,-9.2,1.0
-4.8,-8.799999999999999,1.0
-4.8,-8.399999999999999,1.0
-4.8,-8.0,1.0
-4.8,-7.6,1.0
-4.8,-7.199999999999999,1.0
-4.8,-6.799999999999999,1.0
-4.8,-6.399999999999999,1.0
-4.8,-6.0,1.0
-4.8,-5.6,1.0
-4.8,-5.199999999999999,1.0
-4.8,-4.799999999999999,1.0
-4.8,-4.399999999999999,1.0
-4.8,-4.0,1.0
-4.8,-3.599999999999998,1.0
-4.8,-3.1999999999999993,1.0
-4.8,-2.8000000000000007,1.0
-4.8,-2.3999999999999986,1.0
-4.8,-2.0,1.0
-4.8,-1.5999999999999979,1.0
-4.8,-1.1999999999999993,1.0
-4.8,-0.7999999999999972,1.0
-4.8,-0.3999999999999986,1.0
-4.8,0.0,1.0
-4.8,0.40000000000000213,1.0
-4.8,0.8000000000000007,1.0
-4.8,1.2000000000000028,1.0
-4.8,1.6000000000000014,1.0
-4.8,2.0,1.0
-4.8,2.400000000000002,1.0
-4.8,2.8000000000000007,1.0
-4.8,3.200000000000003,1.0
-4.8,3.6000000000000014,1.0
-4.8,4.0,1.0
-4.8,4.400000000000002,1.0
-4.8,4.800000000000001,1.0
-4.8,5.200000000000003,1.0
-4.8,5.600000000000001,1.0
-4.8,6.0,1.0
-4.8,6.400000000000002,1.0
-4.8,6.800000000000001,1.0
-4.8,7.200000000000003,1.0
-4.8,7.600000000000001,1.0
-4.8,8.0,1.0
-4.8,8.400000000000002,1.0
-4.8,8.8,1.0
-4.8,9.200000000000003,1.0
-4.8,9.600000000000001,1.0
-4.8,10.0,1.0
-4.8,10.400000000000002,1.0
-4.8,10.8,1.0
-4.8,11.200000000000003,1.0
-4.8,11.600000000000001,1.0
-4.8,12.0,1.0
-4.8,12.399999999999999,1.0
-4.8,12.800000000000004,1.0
-4.8,13.200000000000003,1.0
-4.8,13.600000000000001,1.0
-4.8,14.0,1.0
-4.8,14.399999999999999,1.0
-4.8,14.800000000000004,1.0
-4.8,15.200000000000003,1.0
-4.8,15.600000000000001,1.0
-4.8,16.0,1.0
-4.8,16.4,1.0
-4.8,16.800000000000004,1.0
-4.8,17.200000000000003,1.0
-4.8,17.6,1.0
-4.8,18.0,1.0
-4.8,18.400000000000006,1.0
-4.8,18.800000000000004,1.0
-4.8,19.200000000000003,1.0
-4.8,19.6,1.0
-4.8,20.0,1.0
-4.3999999999999995,-20.0,1.0
-4.3999999999999995,-19.6,1.0
-4.3999999999999995,-19.2,1.0
-4.3999999999999995,-18.8,1.0
-4.3999999999999995,-18.4,1.0
-4.3999999999999995,-18.0,1.0
-4.3999999999999995,-17.6,1.0
-4.3999999999999995,-17.2,1.0
-4.3999999999999995,-16.8,1.0
-4.3999999999999995,-16.4,1.0
-4.3999999999999995,-16.0,1.0
-4.3999999999999995,-15.6,1.0
-4.3999999999999995,-15.2,1.0
-4.3999999999999995,-14.8,1.0
-4.3999999999999995,-14.399999999999999,1.0
-4.3999999999999995,-14.0,1.0
-4.3999999999999995,-13.6,1.0
-4.3999999999999995,-13.2,1.0
-4.3999999999999995,-12.8,1.0
-4.3999999999999995,-12.399999999999999,1.0
-4.3999999999999995,-12.0,1.0
-4.3999999999999995,-11.6,1.0
-4.3999999999999995,-11.2,1.0
-4.3999999999999995,-10.799999999999999,1.0
-4.3999999999999995,-10.399999999999999,1.0
-4.3999999999999995,-10.0,1.0
-4.3999999999999995,-9.6,1.0
-4.3999999999999995,-9.2,1.0
-4.3999999999999995,-8.799999999999999,1.0
-4.3999999999999995,-8.399999999999999,1.0
-4.3999999999999995,-8.0,1.0
-4.3999999999999995,-7.6,1.0
-4.3999999999999995,-7.199999999999999,1.0
-4.3999999999999995,-6.799999999999999,1.0
-4.3999999999999995,-6.399999999999999,1.0
-4.3999999999999995,-6.0,1.0
-4.3999999999999995,-5.6,1.0
-4.3999999999999995,-5.199999999999999,1.0
-4.3999999999999995,-4.799999999999999,1.0
-4.3999999999999995,-4.399999999999999,1.0
-4.3999999999999995,-4.0,1.0
-4.3999999999999995,-3.599999999999998,1.0
-4.3999999999999995,-3.1999999999999993,1.0
-4.3999999999999995,-2.8000000000000007,1.0
-4.3999999999999995,-2.3999999999999986,1.0
-4.3999999999999995,-2.0,1.0
-4.3999999999999995,-1.5999999999999979,1.0
-4.3999999999999995,-1.1999999999999993,1.0
-4.3999999999999995,-0.7999999999999972,1.0
-4.3999999999999995,-0.3999999999999986,1.0
-4.3999999999999995,0.0,1.0
-4.3999999999999995,0.40000000000000213,1.0
-4.3999999999999995,0.8000000000000007,1.0
-4.3999999999999995,1.2000000000000028,1.0
-4.3999999999999995,1.6000000000000014,1.0
-4.3999999999999995,2.0,1.0
-4.3999999999999995,2.400000000000002,1.0
-4.3999999999999995,2.8000000000000007,1.0
-4.3999999999999995,3.200000000000003,1.0
-4.3999999999999995,3.6000000000000014,1.0
-4.3999999999999995,4.0,1.0
-4.3999999999999995,4.400000000000002,1.0
-4.3999999999999995,4.800000000000001,1.0
-4.3999999999999995,5.200000000000003,1.0
-4.3999999999999995,5.600000000000001,1.0
-4.3999999999999995,6.0,1.0
-4.3999999999999995,6.400000000000002,1.0
-4.3999999999999995,6.800000000000001,1.0
-4.3999999999999995,7.200000000000003,1.0
-4.3999999999999995,7.600000000000001,1.0
-4.3999999999999995,8.0,1.0
-4.3999999999999995,8.400000000000002,1.0
-4.3999999999999995,8.8,1.0
-4.3999999999999995,9.200000000000003,1.0
-4.3999999999999995,9.600000000000001,1.0
-4.3999999999999995,10.0,1.0
-4.3999999999999995,10.400000000000002,1.0
-4.3999999999999995,10.8,1.0
-4.3999999999999995,11.200000000000003,1.0
-4.3999999999999995,11.600000000000001,1.0
-4.3999999999999995,12.0,1.0
-4.3999999999999995,12.399999999999999,1.0
-4.3999999999999995,12.800000000000004,1.0
-4.3999999999999995,13.200000000000003,1.0
-4.3999999999999995,13.600000000000001,1.0
-4.3999999999999995,14.0,1.0
-4.3999999999999995,14.399999999999999,1.0
-4.3999999999999995,14.800000000000004,1.0
-4.3999999999999995,15.200000000000003,1.0
-4.3999999999999995,15.600000000000001,1.0
-4.3999999999999995,16.0,1.0
-4.3999999999999995,16.4,1.0
-4.3999999999999995,16.800000000000004,1.0
-4.3999999999999995,17.200000000000003,1.0
-4.3999999999999995,17.6,1.0
-4.3999999999999995,18.0,1.0
-4.3999999999999995,18.400000000000006,1.0
-4.3999999999999995,18.800000000000004,1.0
-4.3999999999999995,19.200000000000003,1.0
-4.3999999999999995,19.6,1.0
-4.3999999999999995,20.0,1.0
-4.0,-20.0,1.0
-4.0,-19.6,1.0
-4.0,-19.2,1.0
-4.0,-18.8,1.0
-4.0,-18.4,1.0
-4.0,-18.0,1.0
-4.0,-17.6,1.0
-4.0,-17.2,1.0
-4.0,-16.8,1.0
-4.0,-16.4,1.0
-4.0,-16.0,1.0
-4.0,-15.6,1.0
-4.0,-15.2,1.0
-4.0,-14.8,1.0
-4.0,-14.399999999999999,1.0
-4.0,-14.0,1.0
-4.0,-13.6,1.0
-4.0,-13.2,1.0
-4.0,-12.8,1.0
-4.0,-12.399999999999999,1.0
-4.0,-12.0,1.0
-4.0,-11.6,1.0
-4.0,-11.2,1.0
-4.0,-10.799999999999999,1.0
-4.0,-10.399999999999999,1.0
-4.0,-10.0,1.0
-4.0,-9.6,1.0
-4.0,-9.2,1.0
-4.0,-8.799999999999999,1.0
-4.0,-8.399999999999999,1.0
-4.0,-8.0,1.0
-4.0,-7.6,1.0
-4.0,-7.199999999999999,1.0
-4.0,-6.799999999999999,1.0
-4.0,-6.399999999999999,1.0
-4.0,-6.0,1.0
-4.0,-5.6,1.0
-4.0,-5.199999999999999,1.0
-4.0,-4.799999999999999,1.0
-4.0,-4.399999999999999,1.0
-4.0,-4.0,1.0
-4.0,-3.599999999999998,1.0
-4.0,-3.1999999999999993,1.0
-4.0,-2.8000000000000007,1.0
-4.0,-2.3999999999999986,1.0
-4.0,-2.0,1.0
-4.0,-1.5999999999999979,1.0
-4.0,-1.1999999999999993,1.0
-4.0,-0.7999999999999972,1.0
-4.0,-0.3999999999999986,1.0
-4.0,0.0,1.0
-4.0,0.40000000000000213,1.0
-4.0,0.8000000000000007,1.0
-4.0,1.2000000000000028,1.0
-4.0,1.6000000000000014,1.0
-4.0,2.0,1.0
-4.0,2.400000000000002,1.0
-4.0,2.8000000000000007,1.0
-4.0,3.200000000000003,1.0
-4.0,3.6000000000000014,1.0
-4.0,4.0,1.0
-4.0,4.400000000000002,1.0
-4.0,4.800000000000001,1.0
-4.0,5.200000000000003,1.0
-4.0,5.600000000000001,1.0
-4.0,6.0,1.0
-4.0,6.400000000000002,1.0
-4.0,6.800000000000001,1.0
-4.0,7.200000000000003,1.0
-4.0,7.600000000000001,1.0
-4.0,8.0,1.0
-4.0,8.400000000000002,1.0
-4.0,8.8,1.0
-4.0,9.200000000000003,1.0
-4.0,9.600000000000001,1.0
-4.0,10.0,1.0
-4.0,10.400000000000002,1.0
-4.0,10.8,1.0
-4.0,11.200000000000003,1.0
-4.0,11.600000000000001,1.0
-4.0,12.0,1.0
-4.0,12.399999999999999,1.0
-4.0,12.800000000000004,1.0
-4.0,13.200000000000003,1.0
-4.0,13.600000000000001,1.0
-4.0,14.0,1.0
-4.0,14.399999999999999,1.0
-4.0,14.800000000000004,1.0
-4.0,15.200000000000003,1.0
-4.0,15.600000000000001,1.0
-4.0,16.0,1.0
-4.0,16.4,1.0
-4.0,16.800000000000004,1.0
-4.0,17.200000000000003,1.0
-4.0,17.6,1.0
-4.0,18.0,1.0
-4.0,18.400000000000006,1.0
-4.0,18.800000000000004,1.0
-4.0,19.200000000000003,1.0
-4.0,19.6,1.0
-4.0,20.0,1.0
-3.5999999999999996,-20.0,1.0
-3.5999999999999996,-19.6,1.0
-3.5999999999999996,-19.2,1.0
-3.5999999999999996,-18.8,1.0
-3.5999999999999996,-18.4,1.0
-3.5999999999999996,-18.0,1.0
-3.5999999999999996,-17.6,1.0
-3.5999999999999996,-17.2,1.0
-3.5999999999999996,-16.8,1.0
-3.5999999999999996,-16.4,1.0
-3.5999999999999996,-16.0,1.0
-3.5999999999999996,-15.6,1.0
-3.5999999999999996,-15.2,1.0
-3.5999999999999996,-14.8,1.0
-3.5999999999999996,-14.399999999999999,1.0
-3.5999999999999996,-14.0,1.0
-3.5999999999999996,-13.6,1.0
-3.5999999999999996,-13.2,1.0
-3.5999999999999996,-12.8,1.0
-3.5999999999999996,-12.399999999999999,1.0
-3.5999999999999996,-12.0,1.0
-3.5999999999999996,-11.6,1.0
-3.5999999999999996,-11.2,1.0
-3.5999999999999996,-10.799999999999999,1.0
-3.5999999999999996,-10.399999999999999,1.0
-3.5999999999999996,-10.0,1.0
-3.5999999999999996,-9.6,1.0
-3.5999999999999996,-9.2,1.0
-3.5999999999999996,-8.799999999999999,1.0
-3.5999999999999996,-8.399999999999999,1.0
-3.5999999999999996,-8.0,1.0
-3.5999999999999996,-7.6,1.0
-3.5999999999999996,-7.199999999999999,1.0
-3.5999999999999996,-6.799999999999999,1.0
-3.5999999999999996,-6.399999999999999,1.0
-3.5999999999999996,-6.0,1.0
-3.5999999999999996,-5.6,1.0
-3.5999999999999996,-5.199999999999999,1.0
-3.5999999999999996,-4.799999999999999,1.0
-3.5999999999999996,-4.399999999999999,1.0
-3.5999999999999996,-4.0,1.0
-3.5999999999999996,-3.599999999999998,1.0
-3.5999999999999996,-3.1999999999999993,1.0
-3.5999999999999996,-2.8000000000000007,1.0
-3.5999999999999996,-2.3999999999999986,1.0
-3.5999999999999996,-2.0,1.0
-3.5999999999999996,-1.5999999999999979,1.0
-3.5999999999999996,-1.1999999999999993,1.0
-3.5999999999999996,-0.7999999999999972,1.0
-3.5999999999999996,-0.3999999999999986,1.0
-3.5999999999999996,0.0,1.0
-3.5999999999999996,0.40000000000000213,1.0
-3.5999999999999996,0.8000000000000007,1.0
